"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,4.474957875,,
"LUX","Luxembourg","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,42.1753949,,
"CHL","Chile","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,31.54351288,,
"TUR","Turkey","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,12.20286422,,
"CZE","Czech Republic","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,26.1225559,,
"JPN","Japan","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,33.98245894,,
"AUS","Australia","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,57.70279252,,
"CAN","Canada","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,73.29636182,,
"EST","Estonia","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,62.55594213,,
"SWE","Sweden","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,64.65023744,,
"SVN","Slovenia","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,64.15043665,,
"CHL","Chile","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,18.01659695,,
"USA","United States","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,66.21999142,,
"IDN","Indonesia","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,43.57155588,,
"DEU","Germany","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,31.80873542,,
"ISL","Iceland","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,65.15608799,,
"PRT","Portugal","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,19.52849484,,
"KOR","Korea","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,35.58484218,,
"IRL","Ireland","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,40.32190951,,
"TUR","Turkey","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,34.73590857,,
"SVK","Slovak Republic","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,28.06659023,,
"CAN","Canada","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,49.54057477,,
"FIN","Finland","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,85.10630938,,
"ESP","Spain","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,24.34536955,,
"HUN","Hungary","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,36.3774451,,
"IND","India","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,9.765436038,,
"FRA","France","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,26.74735736,,
"AUT","Austria","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,48.04427328,,
"PRT","Portugal","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.39973316,,
"NLD","Netherlands","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,47.35204585,,
"NZL","New Zealand","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.39868387,,
"KOR","Korea","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,42.43368344,,
"DEU","Germany","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,53.88891729,,
"DNK","Denmark","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,45.5742207,,
"CAN","Canada","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,59.13591038,,
"FIN","Finland","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,87.49262159,,
"CZE","Czech Republic","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,20.13342417,,
"FRA","France","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,28.04374459,,
"MEX","Mexico","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,16.40127385,,
"ISL","Iceland","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,25.7279642,,
"GBR","United Kingdom","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,50.24338543,,
"ZAF","South Africa","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,28.65752136,,
"SVN","Slovenia","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,16.75243986,,
"AUT","Austria","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,64.46227132,,
"USA","United States","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,35.32724848,,
"SWE","Sweden","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,41.29253865,,
"NLD","Netherlands","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,58.29792681,,
"BEL","Belgium","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,43.8782443,,
"KOR","Korea","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,45.74357919,,
"EST","Estonia","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,33.67720274,,
"ISR","Israel","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,33.22851145,,
"FIN","Finland","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,27.64053199,,
"SVK","Slovak Republic","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,13.98576946,,
