"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,476,,
"FRA","France","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,470,,
"FRA","France","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,475,,
"FRA","France","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,519,,
"FRA","France","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,514,,
"FRA","France","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,505,,
"FRA","France","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,515,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,515,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,499,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,505,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,507,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,492,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,489,,
"FRA","France","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,497,,
"FRA","France","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,500,,
"FRA","France","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,494,,
"FRA","France","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,497,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,468,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,471,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,475,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,478,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,502,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,513,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,517,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,518,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,508,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,513,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,520,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,499,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,494,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,505,,
"DEU","Germany","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,519,,
"DEU","Germany","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,523,,
"DEU","Germany","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,512,,
"DEU","Germany","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,518,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,456,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,453,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,432,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,459,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,493,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,490,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,488,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,506,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,455,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,462,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,473,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,436,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,457,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,459,,
"GRC","Greece","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,468,,
"GRC","Greece","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,465,,
"GRC","Greece","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,479,,
"GRC","Greece","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,475,,
"HUN","Hungary","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,465,,
